seq,mota,motp,idf1,idp,idr,num_objects,num_predictions,num_matches,num_false_positives,num_misses,num_switches,num_fragmentations,precision,recall,idtp,idfp,idfn
MOT20-01,0.2561650729743332,0.8152329069617273,0.28678523008214374,0.6904761904761905,0.18097634625062908,19870.0,5208.0,5163.0,45.0,14707.0,28.0,266.0,0.9913594470046083,0.25983895319577255,3596.0,1612.0,16274.0
MOT20-02,0.18704036396065704,0.8225284642859515,0.19885045772780596,0.5811026580257349,0.1199480425482416,154742.0,31941.0,30583.0,1358.0,124159.0,282.0,1730.0,0.9574841113302652,0.1976386501402334,18561.0,13380.0,136181.0
MOT20-03,0.023579822609338885,0.7422926573860529,0.05445628276678505,0.7662023016353725,0.028231385776865247,313658.0,11557.0,9477.0,2080.0,304181.0,1.0,134.0,0.8200224971878515,0.030214437380841553,8855.0,2702.0,304803.0
MOT20-05,-0.0008199967818993681,0.8225633057748308,0.00040482326837619514,0.15375586854460094,0.00020267844986570618,646344.0,852.0,161.0,691.0,646183.0,0.0,9.0,0.18896713615023475,0.00024909336204869233,131.0,721.0,646213.0
OVERALL,0.03604662026028238,nan,0.05259877788024037,0.6284151902820937,0.027448101292598188,1134614.0,49558.0,45384.0,4174.0,1089230.0,311.0,2139.0,0.915775455022398,0.039999506440075654,31143.0,18415.0,1103471.0
