seq,mota,motp,idf1,idp,idr,num_objects,num_predictions,num_matches,num_false_positives,num_misses,num_switches,num_fragmentations,precision,recall,idtp,idfp,idfn
MOT20-01,0.24393558127830905,0.8159937596174986,0.22689719098859468,0.5694922112077686,0.14167086059386008,19870.0,4943.0,4895.0,48.0,14975.0,0.0,280.0,0.9902892979971677,0.24635128334172118,2815.0,2128.0,17055.0
MOT20-02,0.17820630468780296,0.8231149163618994,0.15255108389281716,0.4683897544932062,0.09111294929624794,154742.0,30101.0,28840.0,1261.0,125902.0,3.0,2047.0,0.958107704062988,0.18637473988962272,14099.0,16002.0,140643.0
MOT20-03,0.02279552888815206,0.7419745692969691,0.04208193542429745,0.6086182336182336,0.021794438528588464,313658.0,11232.0,9191.0,2041.0,304467.0,0.0,132.0,0.8182870370370371,0.02930261622531547,6836.0,4396.0,306822.0
MOT20-05,-0.0008230911093782822,0.8182433870530897,0.0003090301706155572,0.1187648456057007,0.00015471637394328717,646344.0,842.0,155.0,687.0,646189.0,0.0,9.0,0.1840855106888361,0.00023981037961209512,100.0,742.0,646244.0
OVERALL,0.034409058939868564,nan,0.04036448196376167,0.5061759837004967,0.02102036463502125,1134614.0,47118.0,43081.0,4037.0,1091533.0,3.0,2468.0,0.9143214907254128,0.037969741251209665,23850.0,23268.0,1110764.0
